author,content,description,photo_url,pub_date,source,title,url,combined_text,tokens,lems,keywords
Jay Peters,"Tough week for Facebook
Illustration by Alex Castro / The Verge
Instagram has been experiencing issues for many of us here at The Verge, but it turns out that the problem might be broader than that… [+976 chars]",Facebook said that some of its services are experiencing issues on Friday. The problems are hitting just days after a massive outage across Facebook’s services.,https://cdn.vox-cdn.com/thumbor/GD8_ddV1_zZQH7lA__uum-kuCZ8=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19228501/acastro_190919_1777_instagram_0003.0.jpg,2021-10-08,The Verge,Facebook confirms that some of its services are having issues again,https://www.theverge.com/2021/10/8/22716860/facebook-instagram-outage-issues,facebook confirms that some of its services are having issues again tough week for facebook illustration by alex castro the verge instagram has been experiencing issues for many of us here at the verge but it turns out that the problem might be broader than that  chars,"['facebook', 'confirms', 'services', 'issues', 'tough', 'week', 'facebook', 'illustration', 'alex', 'castro', 'verge', 'instagram', 'experiencing', 'issues', 'many', 'us', 'verge', 'turns', 'problem', 'might', 'broader', 'chars']",facebook confirms service issue tough week illustration alex castro verge instagram experiencing many u turn problem might broader char,"['facebook', 'confirms', 'services', 'issues', 'tough', 'week', 'illustration', 'alex', 'castro', 'verge', 'instagram', 'experiencing', 'many', 'us', 'turns', 'problem', 'might', 'broader', 'chars']"
Nicole Wetsman,"Efforts to minimize the findings arent good for trust
Illustration by Alex Castro / The Verge
For weeks, Facebook has stared down mounting anxiety over a leaked internal study about the harmful eff… [+4586 chars]",Internal research at Facebook showing that Instagram might be harmful to the mental health of teen girls is in line with other research in the field. That complicates efforts to minimize the findings.,https://cdn.vox-cdn.com/thumbor/AhEDh8cXLzPzD8FmGa8EbJmzzbs=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19228500/acastro_190919_1777_instagram_0001.0.jpg,2021-10-06,The Verge,Facebook’s whistleblower report confirms what researchers have known for years,https://www.theverge.com/2021/10/6/22712927/facebook-instagram-teen-mental-health-research,facebook s whistleblower report confirms what researchers have known for years efforts to minimize the findings arent good for trust illustration by alex castro the verge for weeks facebook has stared down mounting anxiety over a leaked internal study about the harmful eff  chars,"['facebook', 'whistleblower', 'report', 'confirms', 'researchers', 'known', 'years', 'efforts', 'minimize', 'findings', 'arent', 'good', 'trust', 'illustration', 'alex', 'castro', 'verge', 'weeks', 'facebook', 'stared', 'mounting', 'anxiety', 'leaked', 'internal', 'study', 'harmful', 'eff', 'chars']",facebook whistleblower report confirms researcher known year effort minimize finding arent good trust illustration alex castro verge week stared mounting anxiety leaked internal study harmful eff char,"['facebook', 'whistleblower', 'report', 'confirms', 'researchers', 'known', 'years', 'efforts', 'minimize', 'findings', 'arent', 'good', 'trust', 'illustration', 'alex', 'castro', 'verge', 'weeks', 'stared', 'mounting', 'anxiety', 'leaked', 'internal', 'study', 'harmful', 'eff', 'chars']"
Jon Porter,"Encrypted messaging app Signal also reports gaining millions new users 
Illustration by Alex Castro / The Verge
Messaging app Telegram gained a record 70 million new users on Monday, as Facebook ex… [+2162 chars]","Messaging app Telegram gained a record 70 million new users on Monday, its CEO Pavel Durov announced. Encrypted messaging app Signal also reported gaining ‘millions’ of new users on the same day.",https://cdn.vox-cdn.com/thumbor/ma3VFJyH8a5RbMNAidMYF8bCF6w=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10668737/acastro_180417_1777_telegram_0004.jpg,2021-10-06,The Verge,Telegram gains 70M new users in just one day after Facebook outage,https://www.theverge.com/2021/10/6/22712191/telegram-70-million-new-users-facebook-outage-surge-whatsapp,telegram gains m new users in just one day after facebook outage encrypted messaging app signal also reports gaining millions new users illustration by alex castro the verge messaging app telegram gained a record  million new users on monday as facebook ex  chars,"['telegram', 'gains', 'new', 'users', 'one', 'day', 'facebook', 'outage', 'encrypted', 'messaging', 'app', 'signal', 'also', 'reports', 'gaining', 'millions', 'new', 'users', 'illustration', 'alex', 'castro', 'verge', 'messaging', 'app', 'telegram', 'gained', 'record', 'million', 'new', 'users', 'monday', 'facebook', 'ex', 'chars']",telegram gain new user one day facebook outage encrypted messaging app signal also report gaining million illustration alex castro verge gained record million monday ex char,"['telegram', 'gains', 'new', 'users', 'one', 'day', 'facebook', 'outage', 'encrypted', 'messaging', 'app', 'signal', 'also', 'reports', 'gaining', 'millions', 'illustration', 'alex', 'castro', 'verge', 'gained', 'record', 'million', 'monday', 'ex', 'chars']"
Adi Robertson,"HTC wants to find a new VR market — but what is it? After years of focusing on business-oriented virtual reality, HTC is launching a $499 entertainment-focused headset called the Vive Flow in Novembe… [+8930 chars]","HTC has announced the Vive Flow, a $499 virtual reality headset with no controller and a sunglasses-like design. It ships in November with preorders starting today.",https://cdn.vox-cdn.com/thumbor/WdAguvf8zZvG0mTFG6VBJdfHFck=/0x238:2040x1306/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22908693/akrales_211005_4774_0005.jpg,2021-10-14,The Verge,The $499 HTC Vive Flow is VR for people who don’t like VR,https://www.theverge.com/2021/10/14/22713276/htc-vive-flow-vr-headset-launch-price-hands-on,the  htc vive flow is vr for people who don t like vr htc wants to find a new vr market but what is it after years of focusing on business oriented virtual reality htc is launching a  entertainment focused headset called the vive flow in novembe  chars,"['htc', 'vive', 'flow', 'vr', 'people', 'like', 'vr', 'htc', 'wants', 'find', 'new', 'vr', 'market', 'years', 'focusing', 'business', 'oriented', 'virtual', 'reality', 'htc', 'launching', 'entertainment', 'focused', 'headset', 'called', 'vive', 'flow', 'novembe', 'chars']",htc vive flow vr people like want find new market year focusing business oriented virtual reality launching entertainment focused headset called novembe char,"['htc', 'vive', 'flow', 'vr', 'people', 'like', 'wants', 'find', 'new', 'market', 'years', 'focusing', 'business', 'oriented', 'virtual', 'reality', 'launching', 'entertainment', 'focused', 'headset', 'called', 'novembe', 'chars']"
Nilay Patel,"Photo Illustration by Grayson Blackmon / The Verge

 


 They’re also working on biometric recognition This week I’m talking to Jeep CEO Christian Meunier — and there’s a lot to talk about. Jeep jus… [+60723 chars]","Jeep CEO Christian Meunier talks about the new plug-in hybrid Jeep Grand Cherokee 4xe, the plug-in hybrid Wrangler, national charging networks, and the decision to use Fire TV in the car.",https://cdn.vox-cdn.com/thumbor/W_OuY_Xlg2l3_I50oS8AUtlauNI=/0x85:2050x1158/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22938369/VRG_ILLO_Decoder_Christian_Meunier_s.jpg,2021-10-19,The Verge,"How Jeep is going electric, with CEO Christian Meunier",https://www.theverge.com/22733877/jeep-ceo-decoder-wrangler-interview-electric-ev-car-grand-cherokee,how jeep is going electric with ceo christian meunier photo illustration by grayson blackmon the verge they re also working on biometric recognition this week i m talking to jeep ceo christian meunier and there s a lot to talk about jeep jus  chars,"['jeep', 'going', 'electric', 'ceo', 'christian', 'meunier', 'photo', 'illustration', 'grayson', 'blackmon', 'verge', 'also', 'working', 'biometric', 'recognition', 'week', 'talking', 'jeep', 'ceo', 'christian', 'meunier', 'lot', 'talk', 'jeep', 'jus', 'chars']",jeep going electric ceo christian meunier photo illustration grayson blackmon verge also working biometric recognition week talking lot talk jus char,"['jeep', 'going', 'electric', 'ceo', 'christian', 'meunier', 'photo', 'illustration', 'grayson', 'blackmon', 'verge', 'also', 'working', 'biometric', 'recognition', 'week', 'talking', 'lot', 'talk', 'jus', 'chars']"
noreply@blogger.com (Unknown),"Users also reported issues with Facebook’s online messaging service Messenger.
Downdetector tracks outages by collating status reports from a series of sources, including user-submitted errors on it… [+1732 chars]","Social media platforms Facebook, Instagram and WhatsApp were down for thousands of users on Monday, according to outage tracking website Downdetector.com.Users also reported issues with Facebook’s online messaging service Messenger.
Downdetector tracks outag…",https://blogger.googleusercontent.com/img/a/AVvXsEixrI9YxiNkLcEkkLqzstkYLLLY_Y78dzLG5pfTgu33UYwJZPD-sdCa4w1Ox41BXBmThCiXy1aveYZ8z3lrTzsRhO4XmIrV-yN1EaDuoZeLn9Cp86Op_zEYG7wVgQWFTm641PxOV2mQwurA1abX-3Krkhg25lV3nm4znJbFpKRPpVTLb31drG7dBoD0-w=w1200-h630-p-k-no-nu,2021-10-04,Blogspot.com,Facebook Instagram And Whatsapp Hit by Global Outage,https://techncruncher.blogspot.com/2021/10/facebook-instagram-and-whatsapp-hit-by.html,facebook instagram and whatsapp hit by global outage users also reported issues with facebook s online messaging service messenger downdetector tracks outages by collating status reports from a series of sources including user submitted errors on it  chars,"['facebook', 'instagram', 'whatsapp', 'hit', 'global', 'outage', 'users', 'also', 'reported', 'issues', 'facebook', 'online', 'messaging', 'service', 'messenger', 'downdetector', 'tracks', 'outages', 'collating', 'status', 'reports', 'series', 'sources', 'including', 'user', 'submitted', 'errors', 'chars']",facebook instagram whatsapp hit global outage user also reported issue online messaging service messenger downdetector track outage collating status report series source including user submitted error char,"['facebook', 'instagram', 'whatsapp', 'hit', 'global', 'outage', 'users', 'also', 'reported', 'issues', 'online', 'messaging', 'service', 'messenger', 'downdetector', 'tracks', 'outages', 'collating', 'status', 'reports', 'series', 'sources', 'including', 'user', 'submitted', 'errors', 'chars']"
noreply@blogger.com (Unknown),"Facebook is continuing to have one of its longest outages in recent history, remaining offline worldwide for hours. The source of the problem is still being determined, though some clues have come to… [+2757 chars]","Facebook is continuing to have one of its longest outages in recent history, remaining offline worldwide for hours. The source of the problem is still being determined, though some clues have come to light recently. Being among the largest social media networ…",https://lh6.googleusercontent.com/proxy/qBgVibIMjorHf4pClMg4HnpD1A9vCKsnmk7BRHtvluywYUCHrKzT8FuUOBy6PYupNexBW_TbAZDtv8gw4_F86UQbtcQkoHgWI97waXqDwbBSwMHYxfQ9EhjZJyzuGko2M3ctmwFll6xiDG5-IwzB6LjHwqBd51rD5Ff40IYTUvIBcYDH-06G8VxJ0B4jXAGIGKBFZeO3Cz6Yri3XFd924g=w1200-h630-p-k-no-nu,2021-10-04,Blogspot.com,Here's What We Know About The Facebook Outage | Screen Rant,https://techncruncher.blogspot.com/2021/10/heres-what-we-know-about-facebook.html,here is what we know about the facebook outage screen rant facebook is continuing to have one of its longest outages in recent history remaining offline worldwide for hours the source of the problem is still being determined though some clues have come to  chars,"['know', 'facebook', 'outage', 'screen', 'rant', 'facebook', 'continuing', 'one', 'longest', 'outages', 'recent', 'history', 'remaining', 'offline', 'worldwide', 'hours', 'source', 'problem', 'still', 'determined', 'though', 'clues', 'come', 'chars']",know facebook outage screen rant continuing one longest outage recent history remaining offline worldwide hour source problem still determined though clue come char,"['know', 'facebook', 'outage', 'screen', 'rant', 'continuing', 'one', 'longest', 'outages', 'recent', 'history', 'remaining', 'offline', 'worldwide', 'hours', 'source', 'problem', 'still', 'determined', 'though', 'clues', 'come', 'chars']"
noreply@blogger.com (Unknown),"If Mark Zuckerberg’s “juvenile jottings” on privacy from 15 years ago still exist, they’re about to be pored over by lawyers.
Facebook Inc. was ordered by a court-appointed referee to search for any… [+2830 chars]","If Mark Zuckerberg’s “juvenile jottings” on privacy from 15 years ago still exist, they’re about to be pored over by lawyers.Facebook Inc. was ordered by a court-appointed referee to search for any personal notes by the company founder that haven’t been destr…",https://blogger.googleusercontent.com/img/a/AVvXsEjmn0AIUiPDKmKB-E4v1uRD8vmVr3tS3cRWk59JT_05etun5UNkRFRDHHHXfqk1hdlKWEolCJKbqjmzrpEO0pPufIZf3Dk6dG9N5O9kZ18rHP7pou-pp0s40mnEqMurYa-RvM_lavVAbChUumajScqynsncZ1JPZXXMA3kF5TioO2-OfXSkAzIKB3u6sg=w1200-h630-p-k-no-nu,2021-10-08,Blogspot.com,Zuckerberg’s Early Notes on Privacy Now Haunt Facebook in Suit,https://techncruncher.blogspot.com/2021/10/zuckerbergs-early-notes-on-privacy-now.html,zuckerberg s early notes on privacy now haunt facebook in suit if mark zuckerberg s juvenile jottings on privacy from  years ago still exist they re about to be pored over by lawyers facebook inc was ordered by a court appointed referee to search for any  chars,"['zuckerberg', 'early', 'notes', 'privacy', 'haunt', 'facebook', 'suit', 'mark', 'zuckerberg', 'juvenile', 'jottings', 'privacy', 'years', 'ago', 'still', 'exist', 'pored', 'lawyers', 'facebook', 'inc', 'ordered', 'court', 'appointed', 'referee', 'search', 'chars']",zuckerberg early note privacy haunt facebook suit mark juvenile jotting year ago still exist pored lawyer inc ordered court appointed referee search char,"['zuckerberg', 'early', 'notes', 'privacy', 'haunt', 'facebook', 'suit', 'mark', 'juvenile', 'jottings', 'years', 'ago', 'still', 'exist', 'pored', 'lawyers', 'inc', 'ordered', 'court', 'appointed', 'referee', 'search', 'chars']"
Brian Heater,"The Portal line has always been a kind of odd duck in the world of smart screens. Facebooks most significant contribution to the category is almost certainly Smart Camera, which uses AI to track a su… [+2771 chars]","The Portal line has always been a kind of odd duck in the world of smart screens. Facebook’s most significant contribution to the category is almost certainly Smart Camera, which uses AI to track a subject and pan and zoom accordingly to keep them in frame. I…",https://techcrunch.com/wp-content/uploads/2021/09/Portal-Go-Video-Call_Kitchen.jpg?w=711,2021-09-21,TechCrunch,Facebook adds a battery-powered smart screen to the Portal line,http://techcrunch.com/2021/09/21/facebook-adds-a-battery-powered-smart-screen-to-the-portal-line/,facebook adds a battery powered smart screen to the portal line the portal line has always been a kind of odd duck in the world of smart screens facebooks most significant contribution to the category is almost certainly smart camera which uses ai to track a su  chars,"['facebook', 'adds', 'battery', 'powered', 'smart', 'screen', 'portal', 'line', 'portal', 'line', 'always', 'kind', 'odd', 'duck', 'world', 'smart', 'screens', 'facebooks', 'significant', 'contribution', 'category', 'almost', 'certainly', 'smart', 'camera', 'uses', 'ai', 'track', 'su', 'chars']",facebook add battery powered smart screen portal line always kind odd duck world screen facebooks significant contribution category almost certainly camera us ai track su char,"['facebook', 'adds', 'battery', 'powered', 'smart', 'screen', 'portal', 'line', 'always', 'kind', 'odd', 'duck', 'world', 'screens', 'facebooks', 'significant', 'contribution', 'category', 'almost', 'certainly', 'camera', 'uses', 'ai', 'track', 'su', 'chars']"
Taylor Hatmaker,"Ben Rubin understands where social is going. In fact, he understands it so well, he’s always there early.
Rubin is the current CEO and co-founder of Slashtalk and an angel investor who scouts for Se… [+2204 chars]","Ben Rubin understands where social is going. In fact, he understands it so well, he’s always there early. Rubin is the current CEO and co-founder of Slashtalk and an angel investor who scouts for Sequoia Capital. He previously founded Houseparty and Meerkat —…",https://techcrunch.com/wp-content/uploads/2021/09/Disrupt-2021-rubin.jpg?w=764,2021-09-21,TechCrunch,"Ben Rubin, who founded Houseparty, Meerkat and Slashtalk, will peer into the future of social at Disrupt",http://techcrunch.com/2021/09/21/ben-rubin-disrupt-2021-slashtalk/,ben rubin who founded houseparty meerkat and slashtalk will peer into the future of social at disrupt ben rubin understands where social is going in fact he understands it so well he s always there early rubin is the current ceo and co founder of slashtalk and an angel investor who scouts for se  chars,"['ben', 'rubin', 'founded', 'houseparty', 'meerkat', 'slashtalk', 'peer', 'future', 'social', 'disrupt', 'ben', 'rubin', 'understands', 'social', 'going', 'fact', 'understands', 'well', 'always', 'early', 'rubin', 'current', 'ceo', 'co', 'founder', 'slashtalk', 'angel', 'investor', 'scouts', 'se', 'chars']",ben rubin founded houseparty meerkat slashtalk peer future social disrupt understands going fact well always early current ceo co founder angel investor scout se char,"['ben', 'rubin', 'founded', 'houseparty', 'meerkat', 'slashtalk', 'peer', 'future', 'social', 'disrupt', 'understands', 'going', 'fact', 'well', 'always', 'early', 'current', 'ceo', 'co', 'founder', 'angel', 'investor', 'scouts', 'se', 'chars']"
noreply@blogger.com (Unknown),"Have your eyes thanking you by knowing how to use WhatsApp dark mode when you’re chatting away late at night.
A new WhatsApp feature makes the app easier to see in poorly lit surroundings, and knowi… [+1573 chars]","Have your eyes thanking you by knowing how to use WhatsApp dark mode when you’re chatting away late at night.A new WhatsApp feature makes the app easier to see in poorly lit surroundings, and knowing how to switch on dark mode can help prevent you from having…",https://lh6.googleusercontent.com/proxy/0O9Zcx_d_gYvfI8xiElQ8-DoFjVNgqtTvhdYZrpbSD5gQVL5fqpfQjeTyGg4CzHTnEdcuWUt13RnOA0_tojYCuknMnMqckayARoRm6giuJ-3SB-3V_U1GtUmG4CW80Gn5_Ix2f3nd_XW2TWuAs-2CA=w1200-h630-p-k-no-nu,2021-10-01,Blogspot.com,"How to use WhatsApp dark mode on Android, iOS and desktop",https://techncruncher.blogspot.com/2021/10/how-to-use-whatsapp-dark-mode-on.html,how to use whatsapp dark mode on android ios and desktop have your eyes thanking you by knowing how to use whatsapp dark mode when you re chatting away late at night a new whatsapp feature makes the app easier to see in poorly lit surroundings and knowi  chars,"['use', 'whatsapp', 'dark', 'mode', 'android', 'ios', 'desktop', 'eyes', 'thanking', 'knowing', 'use', 'whatsapp', 'dark', 'mode', 'chatting', 'away', 'late', 'night', 'new', 'whatsapp', 'feature', 'makes', 'app', 'easier', 'see', 'poorly', 'lit', 'surroundings', 'knowi', 'chars']",use whatsapp dark mode android io desktop eye thanking knowing chatting away late night new feature make app easier see poorly lit surroundings knowi char,"['use', 'whatsapp', 'dark', 'mode', 'android', 'ios', 'desktop', 'eyes', 'thanking', 'knowing', 'chatting', 'away', 'late', 'night', 'new', 'feature', 'makes', 'app', 'easier', 'see', 'poorly', 'lit', 'surroundings', 'knowi', 'chars']"
Natasha Lomas,"New York-based Blackbird.AI has closed a $10 million Series A as it prepares to launched the next version of its disinformation intelligence platform this fall.
The Series A is led by Dorilton Ventu… [+10904 chars]","New York-based Blackbird.AI has closed a $10 million Series A as it prepares to launched the next version of its disinformation intelligence platform this fall. The Series A is led by Dorilton Ventures, along with new investors including Generation Ventures, …",https://techcrunch.com/wp-content/uploads/2021/09/26400512912_b3ff16ccf0_k.jpg?w=764,2021-09-21,TechCrunch,Blackbird.AI grabs $10M to help brands counter disinformation,http://techcrunch.com/2021/09/21/blackbird-ai-grabs-10m-to-help-brands-counter-disinformation/,blackbird ai grabs m to help brands counter disinformation new york based blackbird ai has closed a  million series a as it prepares to launched the next version of its disinformation intelligence platform this fall the series a is led by dorilton ventu  chars,"['blackbird', 'ai', 'grabs', 'help', 'brands', 'counter', 'disinformation', 'new', 'york', 'based', 'blackbird', 'ai', 'closed', 'million', 'series', 'prepares', 'launched', 'next', 'version', 'disinformation', 'intelligence', 'platform', 'fall', 'series', 'led', 'dorilton', 'ventu', 'chars']",blackbird ai grab help brand counter disinformation new york based closed million series prepares launched next version intelligence platform fall led dorilton ventu char,"['blackbird', 'ai', 'grabs', 'help', 'brands', 'counter', 'disinformation', 'new', 'york', 'based', 'closed', 'million', 'series', 'prepares', 'launched', 'next', 'version', 'intelligence', 'platform', 'fall', 'led', 'dorilton', 'ventu', 'chars']"
noreply@blogger.com (Unknown),"With less than a week to October 5, the official release date of Windows 11, Microsoft has rolled out the modernized Paint app to Windows Insiders on the Dev Channel.
It has been redesigned to go wi… [+2019 chars]","With less than a week to October 5, the official release date of Windows 11, Microsoft has rolled out the modernized Paint app to Windows Insiders on the Dev Channel.It has been redesigned to go with the Windows 11’s overhauled user interface (UI), with compo…",https://lh6.googleusercontent.com/proxy/whsvIVA7Gply0bl_UVns_jza1K2hNd3uaZ168_ubH8SxnMhJ--5Rp7yXbjQ_4IGXwrkTD6BLr6T1H0E-S3b-Rvo4PF5OkTyv7UwmYiKrQDEeQ5VxbS_kagy3vuRKnW3v9-rFFy69dKsnDn6dYXpYekfifuQ44cVRLQbyFEusxdYclySCab2EZrU9im_wQOD6mDJ8h3QEb8A4_BpTT73TDX1424h7eeDqopwc0_k4oXfpNXpXw_U4UHkeFA=w1200-h630-p-k-no-nu,2021-09-30,Blogspot.com,Windows 11 rolls out redesigned Paint app ahead of official release,https://techncruncher.blogspot.com/2021/09/windows-11-rolls-out-redesigned-paint.html,windows  rolls out redesigned paint app ahead of official release with less than a week to october  the official release date of windows  microsoft has rolled out the modernized paint app to windows insiders on the dev channel it has been redesigned to go wi  chars,"['windows', 'rolls', 'redesigned', 'paint', 'app', 'ahead', 'official', 'release', 'less', 'week', 'october', 'official', 'release', 'date', 'windows', 'microsoft', 'rolled', 'modernized', 'paint', 'app', 'windows', 'insiders', 'dev', 'channel', 'redesigned', 'go', 'wi', 'chars']",window roll redesigned paint app ahead official release le week october date microsoft rolled modernized insider dev channel go wi char,"['windows', 'rolls', 'redesigned', 'paint', 'app', 'ahead', 'official', 'release', 'less', 'week', 'october', 'date', 'microsoft', 'rolled', 'modernized', 'insiders', 'dev', 'channel', 'go', 'wi', 'chars']"
Sarah Perez,"Roblox is introducing an optional age verification for its users that will combine an ID check with a selfie scan. While the system will not be needed to play most Roblox games, it will be required f… [+3675 chars]","Roblox is introducing an optional age verification for its users that will combine an ID check with a selfie scan. While the system will not be needed to play most Roblox games, it will be required for those who want to gain early access to Roblox’s upcoming …",https://techcrunch.com/wp-content/uploads/2021/09/Roblox-Spatial-Voice.png?w=660,2021-09-21,TechCrunch,Roblox to add opt-in age verification for players and developers,http://techcrunch.com/2021/09/21/roblox-to-add-opt-in-age-verification-for-players-and-developers/,roblox to add opt in age verification for players and developers roblox is introducing an optional age verification for its users that will combine an id check with a selfie scan while the system will not be needed to play most roblox games it will be required f  chars,"['roblox', 'add', 'opt', 'age', 'verification', 'players', 'developers', 'roblox', 'introducing', 'optional', 'age', 'verification', 'users', 'combine', 'id', 'check', 'selfie', 'scan', 'system', 'needed', 'play', 'roblox', 'games', 'required', 'f', 'chars']",roblox add opt age verification player developer introducing optional user combine id check selfie scan system needed play game required f char,"['roblox', 'add', 'opt', 'age', 'verification', 'players', 'developers', 'introducing', 'optional', 'users', 'combine', 'id', 'check', 'selfie', 'scan', 'system', 'needed', 'play', 'games', 'required', 'f', 'chars']"
noreply@blogger.com (Unknown),"With Microsoft’s very own PC Health Check tool back, you can ascertain if your machine is viable to run Windows 11 to be released shortly. This is accompanied with no shortage of third-party options … [+9816 chars]","With Microsoft’s very own PC Health Check tool back, you can ascertain if your machine is viable to run Windows 11 to be released shortly. This is accompanied with no shortage of third-party options available to those who’d like a report on a PCs’ compliance …",https://lh6.googleusercontent.com/proxy/u88qDWHC4NbGNhAeldDB6v5M4_e8G5TNa3HiCMJUdDOuG5RCncGSiWmEp9zHoxQTmreiIYAasQFiIb2Rs6BSBBlMHAhoVUUBUNFPc5LrfAjl-OcFKZ0yFuAGQ2Lf2Ys3cqqoMP845dqxV9KSpCzH_B-PI1yj1I6zO-3ww6FoABj60L34khTMNOf1=w1200-h630-p-k-no-nu,2021-10-03,Blogspot.com,Can your PC run Windows 11? Learn how to here,https://techncruncher.blogspot.com/2021/10/can-your-pc-run-windows-11-learn-how-to.html,can your pc run windows  learn how to here with microsoft s very own pc health check tool back you can ascertain if your machine is viable to run windows  to be released shortly this is accompanied with no shortage of third party options  chars,"['pc', 'run', 'windows', 'learn', 'microsoft', 'pc', 'health', 'check', 'tool', 'back', 'ascertain', 'machine', 'viable', 'run', 'windows', 'released', 'shortly', 'accompanied', 'shortage', 'third', 'party', 'options', 'chars']",pc run window learn microsoft health check tool back ascertain machine viable released shortly accompanied shortage third party option char,"['pc', 'run', 'windows', 'learn', 'microsoft', 'health', 'check', 'tool', 'back', 'ascertain', 'machine', 'viable', 'released', 'shortly', 'accompanied', 'shortage', 'third', 'party', 'options', 'chars']"
Rhett Jones,"In what appears to be another major outage for Facebook, thousands of its users are reporting problems on Friday afternoon. This would be the second time in a week that the worlds biggest social netw… [+815 chars]","In what appears to be another major outage for Facebook, thousands of its users are reporting problems on Friday afternoon. This would be the second time in a week that the world’s biggest social network hasn’t been able to keep its shit together. Read more...","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ef9c792dc56c427c7c34fc3599cc8db4.jpg",2021-10-08,Gizmodo.com,"Facebook and Instagram Are Down for Some Users, Again",https://gizmodo.com/facebook-and-instagram-are-down-for-some-users-again-1847828860,facebook and instagram are down for some users again in what appears to be another major outage for facebook thousands of its users are reporting problems on friday afternoon this would be the second time in a week that the worlds biggest social netw  chars,"['facebook', 'instagram', 'users', 'appears', 'another', 'major', 'outage', 'facebook', 'thousands', 'users', 'reporting', 'problems', 'friday', 'afternoon', 'would', 'second', 'time', 'week', 'worlds', 'biggest', 'social', 'netw', 'chars']",facebook instagram user appears another major outage thousand reporting problem friday afternoon would second time week world biggest social netw char,"['facebook', 'instagram', 'users', 'appears', 'another', 'major', 'outage', 'thousands', 'reporting', 'problems', 'friday', 'afternoon', 'would', 'second', 'time', 'week', 'worlds', 'biggest', 'social', 'netw', 'chars']"
Whitney Kimball,"CNN shut down its Facebook page in Australia on Wednesday, after an Australian court ruled that media outlets are liable for defamatory user-generated comments. On the one hand: bye, Felicia. On the … [+3007 chars]","CNN shut down its Facebook page in Australia on Wednesday, after an Australian court ruled that media outlets are liable for defamatory user-generated comments. On the one hand: bye, Felicia. On the other, the ruling threatens to squash the lively social medi…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/0fba554ff0111fd6d44580a89f0e301e.jpg",2021-09-29,Gizmodo.com,This Is Why We Need Section 230,https://gizmodo.com/this-is-why-we-need-section-230-1847767185,this is why we need section  cnn shut down its facebook page in australia on wednesday after an australian court ruled that media outlets are liable for defamatory user generated comments on the one hand bye felicia on the  chars,"['need', 'section', 'cnn', 'shut', 'facebook', 'page', 'australia', 'wednesday', 'australian', 'court', 'ruled', 'media', 'outlets', 'liable', 'defamatory', 'user', 'generated', 'comments', 'one', 'hand', 'bye', 'felicia', 'chars']",need section cnn shut facebook page australia wednesday australian court ruled medium outlet liable defamatory user generated comment one hand bye felicia char,"['need', 'section', 'cnn', 'shut', 'facebook', 'page', 'australia', 'wednesday', 'australian', 'court', 'ruled', 'media', 'outlets', 'liable', 'defamatory', 'user', 'generated', 'comments', 'one', 'hand', 'bye', 'felicia', 'chars']"
Shoshana Wodinsky,"Heres a fun thought experiment. Lets say you, like any decent, law-abiding internet user, are feeling enraged by the recent slew of Wall Street Journal reports detailing Facebooks myriad failures. Ma… [+7089 chars]","Here’s a fun thought experiment. Let’s say you, like any decent, law-abiding internet user, are feeling enraged by the recent slew of Wall Street Journal reports detailing Facebook’s myriad failures. Maybe you’re angry over Facebook’s inability to reckon with…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/87579d8522c8aa051334ad5e56f9c07a.jpg",2021-09-22,Gizmodo.com,Why a Real Facebook Ad Boycott Is Doomed,https://gizmodo.com/why-a-real-facebook-ad-boycott-is-doomed-1847717120,why a real facebook ad boycott is doomed heres a fun thought experiment lets say you like any decent law abiding internet user are feeling enraged by the recent slew of wall street journal reports detailing facebooks myriad failures ma  chars,"['real', 'facebook', 'ad', 'boycott', 'doomed', 'heres', 'fun', 'thought', 'experiment', 'lets', 'say', 'like', 'decent', 'law', 'abiding', 'internet', 'user', 'feeling', 'enraged', 'recent', 'slew', 'wall', 'street', 'journal', 'reports', 'detailing', 'facebooks', 'myriad', 'failures', 'chars']",real facebook ad boycott doomed here fun thought experiment let say like decent law abiding internet user feeling enraged recent slew wall street journal report detailing facebooks myriad failure char,"['real', 'facebook', 'ad', 'boycott', 'doomed', 'heres', 'fun', 'thought', 'experiment', 'lets', 'say', 'like', 'decent', 'law', 'abiding', 'internet', 'user', 'feeling', 'enraged', 'recent', 'slew', 'wall', 'street', 'journal', 'reports', 'detailing', 'facebooks', 'myriad', 'failures', 'chars']"
